"GeolCode";"GeolCodeInt";"DE";"FR"
"Vlit402069";15102061;"Eisenoolith";"oolite ferrugineuse"
"Vlit402070";15102062;"phosphoritreiches Gestein";"roche phosphatée"
"Vlit402071";15102063;"phosphoritreiches Gestein, undifferenziert";"roche phosphatée, indifférenciée"
"Vlit402072";15102064;"phosphoritreicher Sandstein";"grès phosphaté"
"Vlit402073";15102065;"phosphoritreicher Kalkstein";"calcaire phosphaté"
"Vlit402074";15102066;"phosphoritreicher Mergelstein";"marne phosphatée"
"Vlit402075";15102067;"chemisches Sedimentgestein";"roche sédimentaire chimique"
"Vlit402076";15102068;"chemisches Sedimentgestein, undifferenziert";"roche sédimentaire chimique, indifférenciée"
"Vlit402077";15102069;"Evaporit";"évaporite"
"Vlit402078";15102070;"Evaporit, undifferenziert";"évaporite, indifférenciée"
"Vlit402079";15102071;"Anhydrit";"anhydrite"
"Vlit402080";15102072;"Gips";"gypse"
"Vlit402081";15102073;"Steinsalz";"sel"
"Vlit402082";15102074;"Karbonat";"roche carbonatée"
"Vlit402083";15102075;"Karbonat, undifferenziert";"roche carbonatée, indifférenciée"
"Vlit402084";15102076;"Rauwacke (Sedimentgestein)";"rauwacke (roche sédimentaire)"
"Vlit402085";15102077;"Quelltuff (Kalksinter, Sedimentgestein)";"tuf calcaire (roche sédimentaire)"
"Vlit402086";15102078;"Travertin (Kalksinter, Sedimentgestein)";"travertin (roche sédimentaire)"
"Vlit402087";15102079;"Residualgestein / pedogen überprägtes Gestein";"roche résiduelle / roche sédimentaire transformée par pédogenèse"
"Vlit402088";15102080;"Residualgestein / pedogen überprägtes Gestein, undifferenziert";"roche résiduelle / roche sédim. transf. par pédogenèse, indifférenciée"
"Vlit402089";15102081;"eisenreiches Gestein, pedogen überprägtes Gestein";"roche ferrugineuse (d'origine pédogénétique)"
"Vlit402090";15102082;"Bohnerz";"pisolite ferrugineuse"
"Vlit402091";15102083;"silikat- und Eisen-(oxid-)reiches Gestein";"roche silicatée et ferrugineuse"
"Vlit402092";15102084;"siderolithische Verwitterungsbildungen";"sédiment d'altération sidérolithique"
"Vlit402093";15102085;"silikatreiches Gestein";"roche silicatée"
"Vlit402094";15102086;"silikatreiches Gestein, undifferenziert";"roche silicatée, indifférenciée"
"Vlit402100";15102087;"Boluston";"argile à bolus"
"Vlit402101";15102088;"Huppererde";"hupper"
"Vlit402102";15102089;"Quarzsand";"sable quartzitique"
"Vlit402103";15102090;"Silcrete";"silcrète"
"Vlit402104";15102091;"pedogenes Karbonat";"roche carbonatée pédogénétique"
"Vlit402105";15102092;"pedogenes Karbonat, undifferenziert";"roche carbonatée pédogénétique, indifférenciée"
"Vlit402106";15102093;"Caliche";"caliche"
"Vlit402107";15102094;"Krustenkalk";"calcrète"
"Vlit402108";15102100;"Echinodermenkalk";"calcaire échinodermique"
;15102101;"glaukonitischer Kalkstein";"calcaire glauconieux"
"Vlit403001";15102102;"Lithothamniensandstein";"grès à lithothamnies"
"Vlit403002";15102103;"Eisensandstein";"grès ferrugineux"
"Vlit403003";15102104;"glaukonitischer Mergel";"marne glauconieuse"
"Vlit403004";15102105;"kreidiger Kalk";"calcaire crayeux"
"Vlit403005";15102106;"bioklastischer Kalk";"calcaire bioclastique"
"Vlit403006";15102107;"Mergelkalk";"calcaire marneux"
"Vlit403007";15102108;"eisenschüssiger Kalk";"calcaire ferrugineux"
"Vlit403008";15102109;"Dolomitbrekzie";"brèche dolomitique"
"Vlit403009";15103001;"Magmatit";"roche magmatique"
"Vlit403010";15103002;"Intrusivgestein";"roche intrusive"
"Vlit403011";15103003;"Intrusivgestein, undifferenziert";"roche intrusive, indifférenciée"
"Vlit403012";15103004;"Tiefengestein";"roche plutonique"
"Vlit403013";15103005;"Tiefengestein, undifferenziert";"roche plutonique, indifférenciée"
"Vlit403014";15103006;"Alkalogranit";"granite alcalin"
"Vlit403015";15103007;"Granit";"granite"
"Vlit403016";15103008;"Granodiorit";"granodiorite"
"Vlit403017";15103009;"Quarzdiorit";"diorite quartzique"
"Vlit403018";15103010;"Tonalit";"tonalite"
"Vlit403019";15103011;"Diorit";"diorite"
"Vlit403020";15103012;"Syenit";"syénite"
"Vlit403021";15103013;"Alkalisyenit";"syénite alcaline"
"Vlit403022";15103014;"Quarzgabbro";"gabbro quartzique"
"Vlit403023";15103015;"Gabbro";"gabbro"
"Vlit403024";15103016;"Norit";"norite"
"Vlit403025";15103017;"Monzodiorit";"monzodiorite"
"Vlit403026";15103018;"Monzogabbro";"monzogabbro"
"Vlit403027";15103019;"Monzonit";"monzonite"
"Vlit403028";15103020;"Pyroxenit (Intrusivgestein)";"pyroxénite (roche intrusive)"
"Vlit403029";15103021;"Peridotit (Intrusivgestein)";"péridotite (roche intrusive)"
"Vlit403030";15103022;"nephelinitischer Syenit";"syénite néphélinique"
"Vlit403031";15103023;"Essexit";"essexite"
"Vlit403032";15103024;"Granophyr";"granophyre"
"Vlit403033";15103025;"Ganggestein";"roche filonienne"
"Vlit403034";15103026;"Ganggestein, undifferenziert";"roche filonienne, indifférenciée"
"Vlit403035";15103027;"Mikrogranit";"microgranite"
"Vlit403036";15103028;"Rhyolithporphyr";"porphyre rhyolitique"
"Vlit403037";15103029;"Pegmatit";"pegmatite"
"Vlit403038";15103030;"Aplit";"aplite"
"Vlit403039";15103031;"Mikrodiorit";"microdiorite"
"Vlit403040";15103032;"Mikrogabbro";"microgabbro"
"Vlit403041";15103033;"Lamprophyr";"lamprophyre"
"Vlit403042";15103034;"Pikrit (Intrusivgestein)";"picrite (roche intrusive)"
"Vlit403043";15103035;"Dolerit";"dolérite"
"Vlit403044";15103036;"Extrusivgestein";"roche extrusive"
"Vlit403045";15103037;"Extrusivgestein, undifferenziert";"roche extrusive, indifférenciée"
"Vlit403046";15103038;"Ergussgestein (Effusiva)";"roche effusive"
"Vlit403047";15103039;"Ergussgestein, undifferenziert";"roche effusive, indifférenciée"
"Vlit403048";15103040;"Alkalirhyolith";"rhyolite alcaline"
"Vlit403049";15103041;"Rhyolith";"rhyolite"
"Vlit403050";15103042;"Rhyodazit";"rhyodacite"
"Vlit403051";15103043;"Dazit";"dacite"
"Vlit403052";15103044;"Quarzandesit";"andésite quartzique"
"Vlit403053";15103045;"Andesit";"andésite"
"Vlit403054";15103046;"Alkalitrachyt";"trachite alcaline"
"Vlit403055";15103047;"Trachyt";"trachite"
"Vlit403056";15103048;"Basalt";"basalte"
"Vlit403057";15103049;"Pikrit (Effusiva)";"picrite (roche effusive)"
"Vlit403058";15103050;"Phonolith";"phonolite"
"Vlit403059";15103051;"Karbonatit";"carbonatite"
"Vlit403060";15103052;"pyroklastisches Gestein (vulkanischer Tuff, > 75 % pyroklast. Komp.)";"roche pyroclastique (tuf volcanique, > 75 % comp. pyrocl.)"
"Vlit403061";15103053;"pyroklastisches Gestein, undifferenziert (vulkanischer Tuff, > 75 % pyroklast. Komp.)";"roche pyroclastique, indifférenciée (tuf volcanique, > 75 % comp. pyrocl.)"
"Vlit403062";15103054;"Ignimbrit";"ignimbrite"
"Vlit403063";15103055;"Pyroklastische Brekzie";"brèche pyroclastique"
"Vlit403064";15103056;"Lapillituff";"lapilli"
"Vlit403065";15103057;"Kristalltuff";"tuff à cristaux"
"Vlit403066";15103058;"Aschentuff";"cendres volcaniques"
;15103059;"Tuffit (pyroklastische und nicht vulk. Sedimente 75-25 % pyroklast. Komp.)";"roche volcano-sédimentaire (tuffite 75-25 % comp. pyrocl.)"
;15103060;"Tuffit, undifferenziert (pyroklast. und nicht vulk. Sedimente, 75-25 % pyroklast. Komp.)";"roche volcano-sédimentaire, indifférenciée (tuffite 75-25 % comp. pyrocl.)"
"Vlit404001";15103061;"tuffitische Brekzie";"brèche tuffitique"
"Vlit404002";15103062;"tuffitisches Konglomerat";"poudingue tuffitique"
"Vlit404003";15103063;"tuffitischer Sandstein";"grès tuffitique"
"Vlit404004";15103064;"tuffitischer Siltstein";"siltite tuffitique"
"Vlit404005";15103065;"tuffitischer Tonstein";"argilite tuffitique"
"Vlit404006";15103066;"Bentonit";"bentonite"
"Vlit404007";15103067;"saures Ganggestein";"roche filonienne acide"
"Vlit404008";15103068;"basisches Ganggestein";"roche filonienne basique"
"Vlit404009";15103069;"Basisches Gestein";"roche basique"
"Vlit404010";15103070;"Ultrabasisches Gestein";"roche ultrabasique"
"Vlit404011";15104001;"Metamorphit";"roche métamorphique"
"Vlit404012";15104002;"Gestein der Störungszone";"roche liée à une zone de déformation"
"Vlit404013";15104003;"Gestein der Störungszone, undifferenziert";"roche liée à une zone de déformation, indifférenciée"
"Vlit404014";15104004;"Kakirit (stark zerrüttet und zerschert, ± kohäsionslos)";"kakirite (± sans cohésion)"
"Vlit404015";15104005;"Kakirit, undifferenziert";"kakirite, indifférenciée"
"Vlit404016";15104006;"Gesteinsmehl";"roche pulvérisée"
"Vlit404017";15104007;"Kluftletten";"argile de faille"
"Vlit404018";15104008;"tektonische Brekzie (kohäsionslos)";"brèche de faille"
"Vlit404019";15104009;"Kataklasit (mit grösseren Bruchstücken des Nebengesteins, vorwiegend spröd deformiert)";"cataclasite (déformation surtout fragile)"
"Vlit404020";15104010;"Kataklasit, undifferenziert";"cataclasite, indifférenciée"
"Vlit404021";15104011;"Rauwacke (Kataklasit)";"rauwacke (roche cataclastique)"
"Vlit404022";15104012;"tektonische Dolomitbrekzie";"brèche tectonique dolomitique"
"Vlit404023";15104013;"tektonische Brekzie (mit Kohäsion)";"brèche tectonique"
"Vlit404024";15104014;"Protokataklasit";"protocataclasite"
"Vlit404025";15104015;"(Meso)Kataklasit";"(méso)cataclasite"
"Vlit404026";15104016;"Ultrakataklasit";"ultracataclasite"
"Vlit404027";15104017;"Mylonit (dynamisch rekristallisiert, gebändert, duktil deformiert)";"mylonite (déformation ductile)"
"Vlit404028";15104018;"Mylonit, undifferenziert";"mylonite, indifférenciée"
"Vlit404029";15104019;"Protomylonit";"protomylonite"
"Vlit404030";15104020;"Mylonit";"(méso)mylonite"
"Vlit404031";15104021;"Ultramylonit";"ultramylonite"
"Vlit404032";15104022;"Phyllonit (duktil deformiert)";"phyllonite (déformation ductile)"
"Vlit404033";15104023;"Phyllonit";"phyllonite"
"Vlit404034";15104024;"Pseudotachylit (durch Reibungswärme aufgeschmolzen)";"pseudotachylite (fondue par friction)"
"Vlit404035";15104025;"Pseudotachylit";"pseudotachylite"
"Vlit404036";15104026;"Gestein der Regional- und Kontaktmetamorphose";"roche du métamorphisme régional et du contact"
"Vlit404037";15104027;"Gestein der Regional- und Kontaktmetamorphose, undifferenziert";"roche du métamorphisme régional et du contact, indifférenciée"
"Vlit404038";15104028;"Phyllit (sehr dünnschiefrig-blättrig)";"phyllite (se délitant en feuillets < 1 mm)"
"Vlit404039";15104029;"Phyllit";"phyllite"
"Vlit404040";15104030;"Schiefer (in 0.1 bis 1 cm-dicke Platten spaltend)";"schiste (se délitant en feuillets de 0,1 à 1 cm)"
"Vlit404041";15104031;"Schiefer, undifferenziert";"schiste, indifférencié"
"Vlit404042";15104032;"Tonschiefer (Schiefer)";"ardoise, schiste ardoisier"
"Vlit404043";15104033;"Serizitschiefer";"séricitoschiste"
"Vlit404044";15104034;"Chloritschiefer";"chloritoschiste"
"Vlit404045";15104035;"Glimmerschiefer";"micaschiste"
"Vlit404046";15104036;"Glaukophanschiefer";"schiste à glaucophane"
"Vlit404047";15104037;"Kalkschiefer";"calcschiste"
"Vlit404048";15104038;"Prasinit";"prasinite"
"Vlit404049";15104039;"Talkschiefer";"talcschiste"
"Vlit404050";15104040;"Gneis (in cm- bis dm-dicke Platten spaltend)";"gneiss (se délitant en plaques cm-dm)"
"Vlit404051";15104041;"Gneis, undifferenziert";"gneiss, indifférencié"
"Vlit404052";15104042;"Augengneis";"gneiss oeillé"
"Vlit404053";15104043;"Bändergneis";"gneiss rubané"
"Vlit404054";15104044;"Adergneis";"gneiss veiné"
"Vlit404055";15104045;"Zweiglimmergneis";"gneiss à deux micas"
"Vlit404056";15104046;"agmatischer Gneis";"gneiss agmatique"
"Vlit404057";15104047;"Leptinit";"leptynite"
"Vlit404058";15104048;"Paragneis";"paragneiss"
"Vlit404059";15104049;"Orthogneis";"orthogneiss"
"Vlit404060";15104050;"Stronalit";"stronalite"
"Vlit404061";15104051;"Kinzigit";"kinzigite"
"Vlit404062";15104052;"Fels (mit granoblastischer Textur)";"roche à texture granoblastique"
"Vlit404063";15104053;"Fels, undifferenziert";"roche à texture granoblastique, indifférenciée"
"Vlit404064";15104054;"Kalksilikatfels";"roche à calcsilicates"
"Vlit404065";15104055;"Marmor (Fels)";"marbre (texture granoblastique)"
"Vlit404067";15104056;"Karbonat- und Silikat führendes Gestein";"roche à carbonates et silicates"
"Vlit404068";15104057;"silikatreicher Marmor";"cipolin"
"Vlit404069";15104058;"Granulit";"granulite"
"Vlit404070";15104059;"Rodingit";"rodingite"
"Vlit404071";15104060;"Amphibolit";"amphibolite"
"Vlit404072";15104061;"Bänderamphibolit";"amphibolite rubanée"
"Vlit404073";15104062;"Schollenamphibolit";"amphibolite à blocs"
"Vlit404074";15104063;"Amphibolitgneis";"gneiss amphibolitique"
"Vlit404075";15104064;"Eklogit";"éclogite"
"Vlit404076";15104065;"Peridotit (Metamorphit)";"péridotite (roche métamophique)"
"Vlit404077";15104067;"Hornfels";"hornfels"
"Vlit404078";15104068;"Metasomatit";"métasomatite"
"Vlit404079";15104069;"Metasomatit, undifferenziert";"métasomatite, indifférenciée"
"Vlit404080";15104070;"Skarn";"skarn"
"Vlit404081";15104071;"Greisen";"greisen"
"Vlit404082";15104072;"Gneis mit Feldspatblasten";"gneiss à blastes de feldspath"
"Vlit404083";15104073;"Anatexit (Migmatit)";"anatexite (migmatite)"
"Vlit404084";15104074;"Anatexit, undifferenziert";"anatexite, indifférenciée"
"Vlit404085";15104075;"Migmatit";"migmatite"
"Vlit404086";15104076;"Metatexit mit Fleckentextur";"métatexite à structure tachetée"
"Vlit404087";15104077;"Metatexit mit stromatitischer Textur";"métatexite à structure stromatitique"
"Vlit404088";15104078;"Metatexit mit Netztextur";"métatexite à structure réticulée"
"Vlit404089";15104079;"Diatexit mit nebulitischer Textur";"diatexite à structure nébulitique"
"Vlit404090";15104080;"Diatexit mit Schlierentextur";"diatexite à structure artéritique (Schlieren)"
"Vlit404091";15104081;"Diatexit mit Schollentextur";"diatexite à enclaves (Schollen)"
"Vlit404092";15104082;"Metamorphit (spezifischer Name)";"roche métamorphique (nom spécifique)"
"Vlit404093";15104083;"monomineralisches Gestein";"roche métamorphique monominérale"
"Vlit404095";15104084;"monomineralischer Metamorphit, undifferenziert";"roche métamorphique monominérale, indifférenciée"
;15104085;"Biotitit";"biotitite"
;15104086;"Hornblenditit";"hornblendite"
;15104087;"Albitit";"albitite"
;15104088;"Pyroxenit (monomineralischer Metamorphit)";"pyroxénite (roche métamorphique monominérale)"
"Vlit404201";15104089;"Chloritit";"chloritite"
"Vlit404202";15104090;"Serpentinit";"serpentinite"
"Vlit404203";15104091;"Quarzit (monomineralischer Metamorphit)";"quartzite (roche métamorphique monominérale)"
"Vlit404204";15104092;"Metamorphit (Protolith erkennbar)";"roche métamorphique (protolithe reconnaissable)"
"Vlit404205";15104093;"Metamorphit (sedimentärer Protolith erkennbar)";"roche métamorphique (protolithe sédimentaire reconnaissable)"
"Vlit404206";15104095;"Metamorphit (magmatischer Protolith erkennbar)";"roche métamorphique (protolithe magmatique reconnaissable)"
"Vlit404207";15104096;"Quarzschiefer";"quartzschiste"
"Vlit404208";15104097;"Granat-Glimmerschiefer";"micaschiste à grenat"
"Vlit404209";15104098;"Grünschiefer";"schiste vert"
"Vlit404210";15104099;"Ophikalzit";"ophicalcite"
"Vlit404211";15104201;"Metasediment";"métasediment"
"Vlit404212";15104202;"Metapsephit";"métaconglomérat"
"Vlit404213";15104203;"Metabrekzie";"métabrèche"
"Vlit404214";15104204;"Metakonglomerat";"métapoudingue"
"Vlit404215";15104205;"Metasandstein";"métagrès"
"Vlit404216";15104206;"Quarzit (sedimentärer Protolith)";"quartzite (protolithe sédimentaire)"
"Vlit404217";15104207;"Metapsammit";"méta-arénite"
"Vlit404218";15104208;"Metaarkose";"méta-arkose"
"Vlit404401";15104209;"Metagrauwacke";"métagrauwacke"
"Vlit404402";15104210;"Geröll führender Metasandstein";"métagrès à galets"
"Vlit404403";15104211;"Metapelit";"métapélite"
"Vlit404404";15104212;"Metasiltstein";"métasiltite"
"Vlit404405";15104213;"Tonschiefer (sedimentärer Protolith)";"méta-argilite (protolithe sédimentaire)"
"Vlit404406";15104214;"Metamergel";"métamarne"
"Vlit404407";15104215;"Marmor (sedimentärer Protolith)";"marbre (protolithe sédimentaire)"
"Vlit404408";15104216;"dolomitischer Marmor";"marbre dolomitique"
"Vlit404409";15104217;"Metaradiolarit";"métaradiolarite"
"Vlit404410";15104218;"Metakarbonat";"métaroche carbonatée"
"Vlit404411";15104401;"Metamagmatit";"métamagmatite"
"Vlit404412";15104402;"metamorph überprägtes Intrusivgestein";"métaroche intrusive"
"Vlit404413";15104403;"Metaplutonit";"métaroche plutonique"
"Vlit404414";15104404;"Metaalkalogranit";"métagranite alcalin"
"Vlit404415";15104405;"Metagranit";"métagranite"
"Vlit404416";15104406;"Metagranodiorit";"métagranodiorite"
"Vlit404417";15104407;"Metaquarzdiorit";"métadiorite quartzique"
"Vlit404418";15104408;"Metatonalit";"métatonalite"
"Vlit404419";15104409;"Metadiorit";"métadiorite"
"Vlit404420";15104410;"Metasyenit";"métasyénite"
"Vlit404421";15104411;"Metaalkalisyenit";"métasyénite alcaline"
"Vlit404422";15104412;"Metaquarzgabbro";"métagabbro quartzique"
"Vlit404423";15104413;"Metagabbro";"métagabbro"
"Vlit404424";15104414;"Metanorit";"métanorite"
"Vlit404425";15104415;"Metamonzodiorit";"métamonzodiorite"
"Vlit404426";15104416;"Metamonzogabbro";"métamonzogabbro"
"Vlit404427";15104417;"Metamonzonit";"métamonzonite"
"Vlit404428";15104418;"Metapyroxenit";"métapyroxénite"
"Vlit404429";15104419;"Metaperidotit";"métapéridotite"
"Vlit404430";15104420;"nephelinitischer Metasyenit";"métasyénite néphélinique"
"Vlit404431";15104421;"Metaessexit";"méta-essexite"
"Vlit404432";15104422;"Metagranophyr";"métagranophyre"
"Vlit404433";15104423;"Metaganggestein";"métaroche filonienne"
"Vlit404434";15104424;"Metamikrogranit";"métamicrogranite"
"Vlit404435";15104425;"Metarhyolithporphy";"métarhyolite"
"Vlit404436";15104426;"Metapegmatit";"métapegmatite"
"Vlit404437";15104427;"Metaaplit";"méta-aplite"
"Vlit404438";15104428;"Metamikrodiorit";"métamicrodiorite"
"Vlit404439";15104429;"Metamikrogabbro";"métamicrogabbro"
"Vlit404440";15104430;"Metalamprophyr";"métalamprophyre"
"Vlit404441";15104431;"Metapikrit";"métapicrite"
"Vlit404443";15104432;"Metadolerit";"métadolérite"
"Vlit404444";15104433;"Metaalkalirhyolith";"métarhyolite alcaline"
"Vlit404445";15104434;"Metarhyolith";"métarhyolite"
"Vlit404446";15104435;"Metarhyodazit";"métarhyodacite"
;15104436;"Metadazit";"métadacite"
;15104437;"Metaquarzandesit";"méta-andésite quartzique"
"Vlit500001";15104438;"Metaandesit";"méta-andésite"
"Vlit500002";15104439;"Metaalkalitrachyt";"métatrachite alcaline"
"Vlit500003";15104440;"Metatrachyt";"métatrachite"
"Vlit500004";15104441;"Metabasalt";"métabasalte"
"Vlit500005";15104443;"Metaphonolit";"métaphonolite"
"Vlit500006";15104444;"metamorph überprägtes pyroklastisches Gestein";"métaroche pyroclastique"
"Vlit500007";15104445;"Metaignimbrit";"méta-ignimbrite"
"Vlit500008";15104446;"Metavulkanit";"métavulcanite"
"Vlit500009";15104447;"ultramafisches Gestein";"roche ultramafique"
"Vlit500010";15104448;"tektonische Kalkbrekzie";"brèche tectonique calcaire"
"Vlit500011";15104449;"Granatit";"Grenatite"
"Vlit500012";15200001;"Twannbach-Formation";"Formation du Twannbach"
"Vlit500013";15200002;"Reuchenette-Formation";"Formation de Reuchenette"
"Vlit500014";15200003;"Courgenay-Formation";"Formation de Courgenay"
"Vlit500015";15200004;"Vellerat-Formation";"Formation de Vellerat"
"Vlit500016";15200005;"St-Ursanne-Formation";"Formation de St-Ursanne"
"Vlit500017";15200006;"Bärschwil-Formation";"Formation de Bärschwil"
"Vlit500018";15200007;"Ifenthal-Formation";"Formation d'Ifenthal"
"Vlit500019";15200008;"Hauptrogenstein";"Hauptrogenstein"
"Vlit500020";15200009;"Passwang-Formation";"Formation du Passwang"
"Vlit500021";15200010;"Opalinus-Ton";"Argile à Opalinus"
"Vlit500022";15200011;"Staffelegg-Formation";"Formation de la Staffelegg"
"Vlit500023";15200012;"Malm des Juragebirges";"Malm du Jura"
"Vlit500024";15200013;"Vouglans-Member";"Membre de Vouglans"
"Vlit500025";15200014;"Chailley-Member";"Membre du Chailley"
"Vlit500026";15200015;"Oberer Virgula-Mergel";"Marnes à Virgula supérieures"
"Vlit500027";15200016;"Grenznerineen-Bank";"Banc à Nérinées du sommet"
"Vlit500028";15200017;"Caldocoropsis-Kalk";"Calcaire à Cladocoropsis"
"Vlit500029";15200018;"Unterer Virgula-Mergel";"Marnes à Virgula inférieures"
"Vlit500030";15200019;"Courtedoux-Member";"Membre de Courtedoux"
"Vlit500031";15200020;"Banné-Member";"Membre du Banné"
"Vlit500032";15200021;"Vabenau-Member";"Membre de Vabenau"
"Vlit500033";15200022;"Creugenat-Schichten";"Couches du Creugenat"
"Vlit500034";15200023;"Etiollets-Formation";"Formation des Etiollets"
"Vlit500035";15200024;"Complexe récifal";"Complexe récifal (Fm. des Etiollets)"
"Vlit500036";15200025;"Couvaloup-Member";"Membre du Couvaloup"
"Vlit500037";15200026;"Porrentruy-Member";"Membre de Porrentruy"
"Vlit500039";15200027;"La-May-Member";"Membre de la May"
"Vlit500040";15200028;"Oolithe-Rousse-Member";"Membre de l'Oolithe rousse"
"Vlit500041";15200029;"Bure-Member";"Membre de Bure"
"Vlit500042";15200030;"Hauptmumienbank-Member";"Membre du Hauptmumienbank (Oolithe nuciforme)"
"Vlit500043";15200031;"Röschenz-Member";"Membre de Röschenz"
"Vlit500044";15200032;"Vorbourg-Member";"Membre du Vorbourg"
"Vlit500045";15200033;"Tiergarten-Member";"Membre du Tiergarten"
"Vlit500046";15200034;"Buix-Member";"Membre de Buix"
"Vlit500047";15200035;"Chestel-Member";"Membre du Chestel"
"Vlit500048";15200036;"Caquerelle-Pisolith";"Pisolite de la Caquerelle"
"Vlit500049";15200037;"Grellingen-Member";"Membre de Grellingen"
"Vlit500050";15200039;"Pichoux-Formation";"Formation du Pichoux"
"Vlit500051";15200040;"Liesberg-Member";"Membre de Liesberg"
"Vlit500052";15200041;"Sornetan-Member";"Membre de Sornetan"
"Vlit500053";15200042;"Renggeri-Member";"Membre à Renggeri"
"Vlit500054";15200043;"Graitery-Member";"Membre du Graitery"
"Vlit500055";15200044;"Herznach-Member";"Membre de Herznach"
"Vlit500056";15200045;"Schellenbrücke-Bank";"Banc du Schellenbrücke"
"Vlit500057";15200046;"Bollement-Member";"Membre de Bollement"
"Vlit500058";15200047;"Ängistein-Member";"Membre d'Ängistein"
"Vlit500059";15200048;"Unter-Erli-Bank";"Banc d'Unter Erli"
"Vlit500060";15200049;"Bözen-Member";"Membre de Bözen"
"Vlit500061";15200050;"Saulcy-Member";"Membre de Saulcy"
"Vlit500062";15200051;"Schelmenloch-Member";"Membre du Schelmenloch"
"Vlit500063";15200052;"Anwil-Bank";"Banc d'Anwil"
"Vlit500064";15200053;"Châtillon-Member";"Membre de Châtillon"
"Vlit500065";15200054;"St-Brais-Member";"Membre de St-Braix"
"Vlit500066";15200055;"Dogger des Juragebirges";"Dogger du Jura"
"Vlit500067";15200056;"Lias des Juragebirges";"Lias du Jura"
"Vlit500068";15200057;"Spatkalk";"Spatkalk (Hauptrogenstein)"
"Vlit500069";15200058;"Pierre-Blanche";"Pierre Blanche (Hauptrogenstein)"
"Vlit500070";15200059;"Movelier-Schichten";"Couches de Movelier"
"Vlit500071";15200060;"Obere Oolithische Serie (Grande Oolithe)";"Série oolitique supérieure (Grande Oolithe)"
"Vlit500072";15200061;"Obere Acuminata-Schichten";"Couches à Acuminata supérieures"
"Vlit500073";15200062;"Untere Oolithische Serie (Oolithe Subcompacte)";"Série oolitique inférieure (Oolithe Subcompacte)"
"Vlit500074";15200063;"Grenchenberg-Member";"Membre du Grenchenberg"
"Vlit500075";15200064;"Rothenfluh-Member";"Membre de la Rothenfluh"
"Vlit500076";15200065;"Brüggli-Member";"Membre de Brüggli"
"Vlit500077";15200066;"Humphriesi-Schichten";"Couches à Humphriesi"
"Vlit500078";15200067;"Waldenburg-Member";"Membre de Waldenburg"
"Vlit500079";15200068;"Hirnichopf-Member";"Membre du Hirnichopf"
"Vlit500080";15200069;"Hauenstein-Member";"Membre de Hauenstein"
"Vlit500081";15200070;"Sissach-Member";"Membre de Sissach"
"Vlit500082";15200071;"Gross-Wolf-Member";"Membre du Gross Wolf"
"Vlit500083";15200072;"Eriwis-Bank";"Banc d'Eriwis"
"Vlit500084";15200073;"Erlimoos-Bank";"Banc d'Erlimoos"
"Vlit500085";15200074;"Gipf-Bank";"Banc de Gipf"
"Vlit500086";15200075;"Rietheim-Member";"Membre de Rietheim"
"Vlit500087";15200076;"Unterer Stein";"Unterer Stein (Fm. de la Staffelegg)"
"Vlit500088";15200077;"Rickenbach-Member";"Membre de Rickenbach"
"Vlit500089";15200078;"Müsenegg-Bank";"Banc de la Müsenegg"
"Vlit500090";15200079;"Breitenmatt-Member";"Membre de Breitenmatt"
"Vlit500091";15200080;"Trasadingen-Bank";"Banc de Trasadingen"
"Vlit500092";15200081;"Grünschholz-Member";"Membre du Grünschholz"
"Vlit500093";15200082;"Frick-Member";"Membre de Frick"
"Vlit500094";15200083;"Mont-Terri-Member";"Membre du Mont Terri"
"Vlit500095";15200084;"Fasiswald-Member";"Membre de Fasiswald"
"Vlit500096";15200085;"Weissenstein-Member";"Membre du Weissenstein"
"Vlit500097";15200086;"Beggingen-Member";"Membre de Beggingen"
"Vlit500098";15200087;"Gächlingen-Bank";"Banc de Gächlingen"
"Vlit500099";15200088;"Schleitheim-Bank";"Banc de Schleitheim"
"Vlit500100";15200089;"Schambelen-Member";"Membre du Schambelen"
"Vlit500101";15200090;"Hallau-Bank";"Banc de Hallau"
"Vlit500102";15200091;"Siderolithikum des Juragebirges";"Sidérolithique du Jura"
"Vlit500103";15200092;"Gorges-de-l'Orbe- und Vallorbe-Formation, undifferenziert";"Formations des Gorges de l'Orbe et de Vallorbe, indifférenciées"
"Vlit500104";15200093;"Vallorbe-Formation";"Formation de Vallorbe"
"Vlit500105";15200094;"Rivière-Member";"Membre de la Rivière"
"Vlit500106";15200095;"Russille-Member";"Membre de la Russille"
"Vlit500107";15200096;"Gorges-de-l'Orbe-Formation";"Formation des Gorges de l'Orbe"
"Vlit500108";15200097;"Pierre-Châtel-, Vions- und Chambotte-Formation, undifferenziert";"Formations de Pierre-Châtel, de Vions et de la Chambotte, indifférenciées"
"Vlit500109";15200098;"Chambotte-Formation";"Formation de la Chambotte"
"Vlit500110";15200099;"Guiers-Member";"Membre du Guiers"
"Vlit500111";15200100;"Vions-Formation";"Formation de Vions"
"Vlit500112";15200101;"Pierre-Châtel-Formation";"Formation de Pierre-Châtel"
"Vlit500113";15200102;"Burghorn-Formation";"Formation du Burghorn"
"Vlit500114";15200103;"Wettigen-Member";"Membre de Wettingen"
"Vlit500115";15200104;"Baden-Member";"Membre de Baden"
"Vlit500116";15200105;"Villigen-Formation";"Formation de Villigen"
"Vlit500117";15200106;"Wangental-Member";"Membre du Wangental"
